uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_235_30_152_131277,8,5,2025_03,235,30,152,131.2768,131.325952,stacks,0.017664
2025_03_235_30_152_131474,8,6,2025_03,235,30,152,131.474176,131.49824,stacks,0.003456
2025_03_235_30_152_131546,8,7,2025_03,235,30,152,131.546112,131.579776,stacks,0.0288
2025_03_235_30_154_166092,8,8,2025_03,235,30,154,166.092032,166.206592,stacks,0.036224
2025_03_235_30_154_170306,8,9,2025_03,235,30,154,170.305664,170.357888,stacks,0.023168
2025_03_235_30_154_180942,8,10,2025_03,235,30,154,180.941568,180.966144,stacks,0.002176
2025_03_235_30_154_181315,8,11,2025_03,235,30,154,181.315328,181.357696,stacks,0.008576
2025_03_235_30_154_191188,8,12,2025_03,235,30,154,191.188224,191.264,stacks,0.006656
2025_03_235_30_154_192359,8,13,2025_03,235,30,154,192.358912,192.447872,stacks,0.004096
2025_03_235_30_154_198882,8,14,2025_03,235,30,154,198.881792,198.895224,stacks,0.038408
2025_03_235_30_154_211866,8,15,2025_03,235,30,154,211.866368,211.898488,stacks,0.011912
2025_03_235_30_154_215707,8,16,2025_03,235,30,154,215.707136,215.8048,stacks,0.012672
2025_03_235_30_154_219632,8,17,2025_03,235,30,154,219.631616,219.671808,stacks,0.000128
2025_03_235_30_155_151343,9,1,2025_03,235,30,155,151.342848,151.385728,stacks,0.000256
2025_03_235_30_155_239793,9,2,2025_03,235,30,155,239.793024,239.845624,stacks,0.005128
2025_03_235_30_155_84903,9,3,2025_03,235,30,155,84.903296,84.935424,stacks,0.008704
2025_03_235_30_156_250641,9,5,2025_03,235,30,156,250.640768,250.671104,stacks,0.004352
2025_03_235_30_156_253612,9,6,2025_03,235,30,156,253.611904,253.675904,stacks,0.002432
2025_03_235_30_156_265142,9,7,2025_03,235,30,156,265.141504,265.219704,stacks,0.005256
2025_03_235_30_156_281958,9,10,2025_03,235,30,156,281.9584,282.022648,stacks,0.007048
2025_03_235_30_156_284921,9,11,2025_03,235,30,156,284.920832,284.955136,stacks,0.025472
2025_03_235_30_156_287906,9,12,2025_03,235,30,156,287.906432,287.950592,stacks,0.002816
2025_03_235_30_156_301262,9,13,2025_03,235,30,156,301.261696,301.28768,stacks,0.019968
2025_03_235_30_156_302805,9,14,2025_03,235,30,156,302.805248,302.89664,stacks,0.015872
2025_03_235_30_156_315517,9,15,2025_03,235,30,156,315.516544,315.578368,stacks,0.0032
2025_03_235_30_156_328030,9,16,2025_03,235,30,156,328.029952,328.080896,stacks,0.019712
2025_03_235_30_156_333382,9,17,2025_03,235,30,156,333.381632,333.430656,stacks,0.020864
2025_03_235_30_156_334402,9,18,2025_03,235,30,156,334.401792,334.482432,stacks,0.014848
2025_03_235_30_156_342666,9,19,2025_03,235,30,156,342.666368,342.747128,stacks,0.01652
2025_03_235_30_156_344087,9,20,2025_03,235,30,156,344.086528,344.145664,stacks,0.00768
2025_03_235_30_157_294730,9,21,2025_03,235,30,157,294.730496,294.804736,stacks,0.000256
2025_03_235_30_157_296796,9,22,2025_03,235,30,157,296.796288,296.883968,stacks,0.014848
2025_03_235_30_158_243013,9,23,2025_03,235,30,158,243.012736,243.040384,stacks,0.003968
2025_03_235_30_158_243380,9,24,2025_03,235,30,158,243.379968,243.436928,stacks,0.01472
2025_03_235_30_158_243943,9,25,2025_03,235,30,158,243.942656,243.96992,stacks,0.015104
2025_03_235_30_158_244280,9,26,2025_03,235,30,158,244.28032,244.333952,stacks,0.005376
2025_03_235_30_158_244830,9,27,2025_03,235,30,158,244.83008,244.861184,stacks,0.0224
2025_03_235_30_158_245156,9,28,2025_03,235,30,158,245.15584,245.19628,stacks,0.017544
2025_03_235_30_158_245606,9,29,2025_03,235,30,158,245.605632,245.65952,stacks,0.01088
2025_03_235_30_158_251267,9,30,2025_03,235,30,158,251.267328,251.33004,stacks,0.0242
2025_03_235_30_158_31801,10,1,2025_03,235,30,158,31.800832,31.837824,stacks,0.037248
2025_03_235_30_158_32856,10,2,2025_03,235,30,158,32.85632,32.898944,stacks,0.003584
2025_03_235_30_158_34056,10,3,2025_03,235,30,158,34.05632,34.128256,stacks,0.04608
2025_03_235_30_158_46605,10,5,2025_03,235,30,158,46.605312,46.642816,stacks,0.001536
2025_03_235_30_158_49503,10,6,2025_03,235,30,158,49.503488,49.592312,stacks,0.021
2025_03_235_30_158_59095,10,7,2025_03,235,30,158,59.095424,59.127808,stacks,0.01216
2025_03_235_30_158_79982,10,8,2025_03,235,30,158,79.981568,80.001656,stacks,0.001544
2025_03_235_30_158_80220,10,9,2025_03,235,30,158,80.21952,80.246528,stacks,0.04736
2025_03_235_30_158_89833,10,10,2025_03,235,30,158,89.832576,89.881472,stacks,0.004352
2025_03_235_30_159_180640,10,11,2025_03,235,30,159,180.640128,180.661632,stacks,0.002944
2025_03_235_30_159_345555,10,12,2025_03,235,30,159,345.555456,345.581432,stacks,0.037
2025_03_235_30_159_36004,10,13,2025_03,235,30,159,36.004224,36.026112,stacks,0.0256
