exp,file_num,t_entry,motion_pre,arrival_calls,mean,std,p05,p25,dark_abs,skew
526,5,197.701,1.7225950782997762e-05,3,114.17506408691406,59.08900833129883,11.0,67.0,0.2155067708333333,-0.2296826839447021
526,9,253.4045,0.0022548098434004,2,113.92308807373048,56.88351058959961,11.0,73.0,0.1854104166666666,-0.2556652426719665
526,14,237.4605,4.47427293064877e-07,0,115.6723403930664,58.72416687011719,11.0,73.0,0.1920197916666666,-0.2301601320505142
526,19,304.4049,0.0,0,119.5939483642578,59.55681228637695,11.0,75.0,0.1822026041666666,-0.3469382524490356
526,29,191.9102,0.0,0,120.7649383544922,59.598731994628906,12.0,78.0,0.1853666666666666,-0.3567086458206177
526,34,143.9873,8.232662192393737e-05,9,114.7266845703125,57.96922302246094,11.0,72.0,0.1939572916666666,-0.2388324290513992
526,42,49.7527,2.237136465324385e-07,0,114.76821899414062,58.46015548706055,11.0,77.0,0.1988161458333333,-0.2127928286790847
526,80,118.7756,0.0004302013422818,3,106.38401794433594,57.98411178588867,10.0,66.0,0.2167770833333333,0.1207101345062255
526,94,84.8499,0.0001988814317673,7,110.8781280517578,57.69797134399414,10.0,73.0,0.1929057291666666,-0.0311389751732349
527,2,243.0529,0.0026583892617449,2,109.80054473876952,59.87958526611328,11.0,64.0,0.2338489583333333,-0.0402454063296318
529,13,71.4544,0.0001270693512304,0,110.72824096679688,57.3042221069336,10.0,71.0,0.19993125,-0.1220110282301902
530,9,150.3325,0.003762192393736,4,105.2798080444336,55.20891952514648,10.0,68.0,0.2131744791666666,0.0125690810382366
534,3,169.9414,0.0006590604026845,7,103.4167022705078,54.739994049072266,10.0,64.0,0.2360583333333333,0.0580696910619735
534,6,234.0823,0.000789932885906,0,111.72325134277344,56.95121765136719,11.0,68.0,0.211653125,-0.1482068300247192
535,1,280.3122,1.1185682326621926e-05,4,102.22545623779295,56.59648132324219,10.0,61.0,0.2372015625,0.196104422211647
535,27,136.1816,0.0003883668903803,3,97.78548431396484,53.26608276367188,8.0,64.0,0.2310822916666666,0.2474765926599502
541,5,107.4051,0.0017398210290827,1,101.91172790527344,54.419578552246094,10.0,65.0,0.2228114583333333,0.1093521863222122
541,9,94.0156,0.0003532438478747,0,106.1452178955078,54.50281524658203,11.0,71.0,0.205878125,-0.008683112449944
544,7,269.5796,4.026845637583892e-05,0,107.1545639038086,55.33302307128906,11.0,65.0,0.2245927083333333,-0.0608042106032371
544,13,116.9668,0.0,0,106.39505767822266,55.1504135131836,11.0,66.0,0.2256505208333333,-0.0310610644519329
545,13,3.3322,0.0008953020134228,3,103.02251434326172,54.170108795166016,9.0,65.0,0.2261588541666666,0.0513989329338073
545,73,29.9633,0.0011709172259507,16,97.63770294189452,54.18732452392578,8.0,60.0,0.2460947916666666,0.2593432664871216
545,81,353.425,7.404921700223714e-05,0,102.27403259277344,55.444480895996094,9.0,64.0,0.2313739583333333,0.1277332007884979
545,94,215.2855,0.0003134228187919,0,106.3915023803711,57.59249496459961,10.0,66.0,0.2214421875,0.1102271452546119
545,113,122.7325,1.5659955257270697e-06,0,112.30696105957033,58.26699447631836,11.0,74.0,0.203584375,-0.0534843951463699
545,132,93.27,0.0003525727069351,2,101.10826110839844,54.38864135742188,9.0,64.0,0.2257666666666666,0.1438488066196441
545,168,326.7121,0.0005577181208053,14,100.846923828125,55.30550384521485,9.0,60.0,0.2434911458333333,0.1556759923696518
545,170,46.3878,6.80089485458613e-05,4,96.74382019042967,54.462059020996094,8.0,59.0,0.2555255208333333,0.2795551717281341
545,172,48.073,0.0001266219239373,3,99.64134216308594,55.16122055053711,8.0,60.0,0.2443723958333333,0.2022142559289932
545,176,301.3479,0.0026704697986577,6,102.03469848632812,54.82170867919922,9.0,63.0,0.2308276041666666,0.1124245077371597
545,179,34.5881,0.0027957494407158,4,101.5078353881836,54.97072219848633,9.0,64.0,0.2310390625,0.159281238913536
548,2,45.7156,3.579418344519016e-06,0,108.9286880493164,57.91943359375,11.0,66.0,0.2241604166666666,-0.0163499601185321
548,14,285.3784,1.0290827740492173e-05,0,107.80829620361328,57.34871292114258,11.0,68.0,0.2202265625,0.0641086921095848
548,113,342.7157,0.0003373601789709,5,103.90746307373048,54.597259521484375,10.0,66.0,0.2142098958333333,0.0885134413838386
548,115,271.3011,0.0002263982102908,0,108.933349609375,55.278587341308594,12.0,68.0,0.2063911458333333,-0.0792808234691619
548,116,340.4578,7.673378076062641e-05,0,107.00604248046876,56.34322738647461,11.0,65.0,0.2214041666666666,0.0249183196574449
548,148,256.9517,0.0030322147651006,7,96.74811553955078,55.06386184692383,9.0,58.0,0.2589463541666666,0.3348130285739898
548,155,212.3911,1.7897091722595078e-06,7,106.058349609375,56.92863082885742,11.0,63.0,0.230721875,0.0485786385834217
548,158,196.2195,0.0035091722595078,2,105.63954162597656,54.70745468139648,11.0,67.0,0.2119890625,0.0635427683591842
549,5,194.9953,0.0008776286353467,8,97.23504638671876,56.214603424072266,8.0,56.0,0.2752895833333333,0.2899678945541382
549,17,273.672,0.0005064876957494,8,107.15599822998048,56.71685028076172,11.0,64.0,0.2280807291666666,0.0197793040424585
550,16,227.1484,0.0009644295302013,10,106.45336151123048,57.21939849853516,11.0,61.0,0.2404963541666666,0.0378202944993972
550,48,322.3528,2.237136465324385e-07,0,115.80001831054688,59.26214218139648,12.0,67.0,0.2165427083333333,-0.2355586141347885
552,72,337.6157,0.0024935123042505,8,104.74081420898438,55.40333557128906,10.0,63.0,0.2360354166666666,0.0324056930840015
552,91,255.8029,0.0006706935123042,9,96.51476287841795,55.60541915893555,8.0,56.0,0.2759697916666667,0.3331911563873291
555,12,318.054,0.0005002237136465,14,97.18180084228516,53.20732498168945,8.0,58.0,0.2589223958333333,0.2257737517356872
555,40,159.268,0.000869351230425,7,99.62586975097656,55.24489974975586,9.0,60.0,0.2464005208333333,0.2471259087324142
555,61,56.1591,0.0022552572706935,4,95.9473114013672,54.48985290527344,8.0,56.0,0.2711036458333333,0.304112046957016
555,92,254.2743,3.713646532438479e-05,9,100.07658386230467,55.27487564086914,9.0,60.0,0.24535625,0.2180583626031875
555,94,15.8856,0.0001076062639821,0,97.55836486816406,55.10528564453125,8.0,58.0,0.2628776041666666,0.2831430435180664
